series;frame_idx;beetle_idx;stage
seria_3;17;15;stage1
seria_3;20;16;stage1
seria_3;22;5;stage1
seria_3;23;3;stage1
seria_3;24;3;stage1
seria_3;31;9;stage1
seria_3;35;13;stage1
seria_3;36;14;stage1
seria_3;38;14;stage1
seria_3;39;14;stage1
seria_3;41;15;stage1
seria_3;42;12;stage1
seria_3;43;15;stage1
seria_3;44;11;stage1
seria_3;45;4;stage1
seria_3;49;6;stage1
seria_3;50;8;stage1
seria_3;51;9;stage1
seria_3;52;11;stage1
seria_3;53;15;stage1
seria_3;56;6;stage1
seria_3;67;8;stage1
seria_3;77;12;stage1
seria_3;82;8;stage1
seria_3;91;14;stage1
seria_3;92;9;stage1
seria_3;95;11;stage1
seria_3;95;13;stage1
seria_3;96;11;stage1
seria_3;97;11;stage1
seria_3;98;9;stage1
seria_3;100;2;stage1
seria_3;102;7;stage1
seria_3;140;14;stage1
seria_3;149;18;stage1
seria_3;150;18;stage1
seria_3;152;15;stage1
seria_3;161;4;stage1
seria_3;1;11;stage1
seria_3;2;13;stage1
seria_3;10;14;stage1
seria_3;20;5;stage1
seria_3;30;10;stage1
seria_3;30;4;stage1
seria_3;32;2;stage1
seria_3;40;4;stage1
seria_3;41;8;stage1
seria_3;44;7;stage1
seria_3;46;11;stage1
seria_3;47;11;stage1
seria_3;48;15;stage1
seria_3;50;9;stage1
seria_3;52;6;stage1
seria_3;57;3;stage1
seria_3;66;18;stage1
seria_3;78;1;stage1
seria_3;81;17;stage1
seria_3;83;4;stage1
seria_3;85;12;stage1
seria_3;101;15;stage1
seria_3;102;12;stage1
seria_3;110;10;stage1
seria_3;110;12;stage1
seria_3;113;11;stage1
seria_3;115;1;stage1
seria_3;116;16;stage1
seria_3;117;2;stage1
seria_3;125;2;stage1
seria_3;131;12;stage1
seria_3;137;16;stage1
seria_3;139;17;stage1
seria_3;140;10;stage1
seria_3;140;15;stage1
seria_3;157;5;stage1
seria_3;161;15;stage1
seria_3;177;15;stage1
seria_3;58;12;stage1
seria_3;71;14;stage1
seria_3;149;16;stage1
seria_3;21;8;stage1
seria_3;22;9;stage1
seria_3;23;8;stage1
seria_3;34;11;stage1
seria_3;51;11;stage1
seria_3;53;14;stage1
seria_3;53;7;stage1
seria_3;55;14;stage1
seria_3;57;5;stage1
seria_3;58;5;stage1
seria_3;59;8;stage1
seria_3;64;14;stage1
seria_3;72;13;stage1
seria_3;74;12;stage1
seria_3;75;16;stage1
seria_3;80;14;stage1
seria_3;81;16;stage1
seria_3;81;18;stage1
seria_3;82;15;stage1
seria_3;83;15;stage1
seria_3;83;18;stage1
seria_3;90;16;stage1
seria_3;95;18;stage1
seria_3;97;15;stage1
seria_3;104;16;stage1
seria_3;105;17;stage1
seria_3;118;10;stage1
seria_3;123;3;stage1
seria_3;134;18;stage1
seria_3;139;18;stage1
seria_3;165;15;stage1
seria_3;170;19;stage1
seria_3;172;14;stage1
seria_3;180;16;stage1
seria_3;78;16;stage1
seria_3;1;7;stage1
seria_3;2;5;stage1
seria_3;10;8;stage1
seria_3;16;13;stage1
seria_3;18;7;stage1
seria_3;25;11;stage1
seria_3;31;15;stage1
seria_3;43;1;stage1
seria_3;83;19;stage1
seria_3;84;16;stage1
seria_3;85;14;stage1
seria_3;90;6;stage1
seria_3;110;9;stage1
seria_3;122;12;stage1
seria_3;126;14;stage1
seria_3;127;18;stage1
seria_3;128;8;stage1
seria_3;142;18;stage1
seria_3;144;7;stage1
seria_3;148;8;stage1
seria_3;149;20;stage1
seria_3;149;9;stage1
seria_3;150;7;stage1
seria_3;152;7;stage1
seria_3;153;8;stage1
seria_3;154;10;stage1
seria_3;158;9;stage1
seria_3;159;13;stage1
seria_3;159;15;stage1
seria_3;160;17;stage1
seria_3;164;5;stage1
seria_3;166;12;stage1
seria_3;167;13;stage1
seria_3;168;11;stage1
seria_3;169;13;stage1
seria_3;182;14;stage1
seria_3;184;5;stage1
seria_3;2;10;stage1
seria_3;13;4;stage1
seria_3;42;4;stage1
seria_3;45;2;stage1
seria_3;46;4;stage1
seria_3;48;5;stage1
seria_3;54;3;stage1
seria_3;100;8;stage1
seria_3;109;3;stage1
seria_3;145;9;stage1
seria_3;147;7;stage1
seria_3;156;8;stage1
seria_3;157;7;stage1
seria_3;161;16;stage1
seria_3;175;17;stage1
seria_3;1;8;stage1
seria_3;14;10;stage1
seria_3;15;9;stage1
seria_3;17;9;stage1
seria_3;21;3;stage1
seria_3;22;2;stage1
seria_3;26;16;stage1
seria_3;47;1;stage1
seria_3;50;1;stage1
seria_3;57;6;stage1
seria_3;59;10;stage1
seria_3;69;15;stage1
seria_3;76;3;stage1
seria_3;84;19;stage1
seria_3;94;16;stage1
seria_3;119;12;stage1
seria_3;122;9;stage1
seria_3;174;3;stage1
seria_3;184;14;stage1
seria_3;184;3;stage1
seria_3;14;8;stage1
seria_3;16;8;stage1
seria_3;32;3;stage1
seria_3;66;19;stage1
seria_3;97;10;stage1
seria_3;101;13;stage1
seria_3;108;9;stage1
seria_3;113;3;stage1
seria_3;136;17;stage1
seria_3;137;17;stage1
seria_3;138;16;stage1
seria_3;140;18;stage1
seria_3;141;16;stage1
seria_3;142;16;stage1
seria_3;142;17;stage1
seria_3;178;7;stage1
seria_3;179;5;stage1
seria_3;181;7;stage1
seria_3;182;6;stage1
seria_3;183;8;stage1
seria_3;7;6;stage1
seria_3;12;5;stage1
seria_3;13;13;stage1
seria_3;13;7;stage1
seria_3;15;11;stage1
seria_3;34;8;stage1
seria_3;35;11;stage1
seria_3;39;3;stage1
seria_3;41;10;stage1
seria_3;41;2;stage1
seria_3;42;1;stage1
seria_3;44;12;stage1
seria_3;45;10;stage1
seria_3;46;1;stage1
seria_3;47;7;stage1
seria_3;48;1;stage1
seria_3;49;2;stage1
seria_3;50;4;stage1
seria_3;51;6;stage1
seria_3;53;9;stage1
seria_3;55;3;stage1
seria_3;57;10;stage1
seria_3;61;13;stage1
seria_3;64;5;stage1
seria_3;74;4;stage1
seria_3;75;4;stage1
seria_3;76;6;stage1
seria_3;77;5;stage1
seria_3;78;5;stage1
seria_3;79;7;stage1
seria_3;80;5;stage1
seria_3;81;3;stage1
seria_3;82;4;stage1
seria_3;83;5;stage1
seria_3;84;4;stage1
seria_3;99;5;stage1
seria_3;100;13;stage1
seria_3;106;4;stage1
seria_3;107;16;stage1
seria_3;107;3;stage1
seria_3;108;5;stage1
seria_3;111;10;stage1
seria_3;111;4;stage1
seria_3;112;1;stage1
seria_3;116;4;stage1
seria_3;116;6;stage1
seria_3;118;11;stage1
seria_3;128;14;stage1
seria_3;139;1;stage1
seria_3;157;11;stage1
seria_3;13;2;stage1
seria_3;64;18;stage1
seria_3;75;9;stage1
seria_3;105;14;stage1
seria_3;109;18;stage1
seria_3;110;13;stage1
seria_3;139;16;stage1
seria_3;159;14;stage1
seria_3;3;12;stage1
seria_3;4;12;stage1
seria_3;5;12;stage1
seria_3;30;15;stage1
seria_3;31;11;stage1
seria_3;36;1;stage1
seria_3;59;4;stage1
seria_3;66;12;stage1
seria_3;72;10;stage1
seria_3;73;10;stage1
seria_3;74;9;stage1
seria_3;75;8;stage1
seria_3;76;4;stage1
seria_3;87;4;stage1
seria_3;92;11;stage1
seria_3;103;1;stage1
seria_3;104;2;stage1
seria_3;109;15;stage1
seria_3;109;8;stage1
seria_3;119;11;stage1
seria_3;130;15;stage1
seria_3;146;13;stage1
seria_3;147;13;stage1
seria_3;150;3;stage1
seria_3;152;1;stage1
seria_3;154;15;stage1
seria_3;157;13;stage1
seria_3;158;5;stage1
seria_3;180;5;stage1
seria_3;184;9;stage1
seria_3;11;8;stage1
seria_3;14;7;stage1
seria_3;43;2;stage1
seria_3;49;3;stage1
seria_3;94;6;stage1
seria_3;112;8;stage1
seria_3;113;8;stage1
seria_3;123;1;stage1
seria_3;125;3;stage1
seria_3;155;6;stage1
seria_3;172;7;stage1
seria_3;176;7;stage1
seria_3;178;6;stage1
seria_3;8;14;stage1
seria_3;11;14;stage1
seria_3;18;9;stage1
seria_3;25;2;stage1
seria_3;26;3;stage1
seria_3;30;1;stage1
seria_3;31;2;stage1
seria_3;36;15;stage1
seria_3;36;4;stage1
seria_3;47;13;stage1
seria_3;52;10;stage1
seria_3;58;4;stage1
seria_3;65;15;stage1
seria_3;66;8;stage1
seria_3;68;7;stage1
seria_3;70;10;stage1
seria_3;73;18;stage1
seria_3;80;7;stage1
seria_3;82;16;stage1
seria_3;83;16;stage1
seria_3;87;16;stage1
seria_3;88;15;stage1
seria_3;89;12;stage1
seria_3;90;14;stage1
seria_3;91;15;stage1
seria_3;94;5;stage1
seria_3;95;10;stage1
seria_3;100;1;stage1
seria_3;101;1;stage1
seria_3;105;11;stage1
seria_3;115;13;stage1
seria_3;116;1;stage1
seria_3;118;2;stage1
seria_3;119;6;stage1
seria_3;123;4;stage1
seria_3;132;13;stage1
seria_3;136;7;stage1
seria_3;169;1;stage1
seria_3;181;17;stage1
seria_3;8;11;stage1
seria_3;17;7;stage1
seria_3;24;9;stage1
seria_3;28;15;stage1
seria_3;30;5;stage1
seria_3;31;5;stage1
seria_3;32;7;stage1
seria_3;44;13;stage1
seria_3;44;14;stage1
seria_3;45;11;stage1
seria_3;46;13;stage1
seria_3;49;9;stage1
seria_3;50;7;stage1
seria_3;60;7;stage1
seria_3;86;4;stage1
seria_3;126;1;stage1
seria_3;131;15;stage1
seria_3;148;1;stage1
seria_3;152;10;stage1
seria_3;160;1;stage1
seria_3;184;4;stage1
seria_3;10;9;stage1
seria_3;26;11;stage1
seria_3;34;15;stage1
seria_3;37;3;stage1
seria_3;39;6;stage1
seria_3;40;12;stage1
seria_3;46;2;stage1
seria_3;59;14;stage1
seria_3;64;11;stage1
seria_3;65;10;stage1
seria_3;80;1;stage1
seria_3;99;10;stage1
seria_3;101;9;stage1
seria_3;102;2;stage1
seria_3;106;8;stage1
seria_3;121;11;stage1
seria_3;127;2;stage1
seria_3;134;10;stage1
seria_3;154;13;stage1
seria_3;157;4;stage1
seria_3;160;2;stage1
seria_3;163;5;stage1
seria_3;177;7;stage1
seria_3;43;8;stage1
seria_3;56;3;stage1
seria_3;71;9;stage1
seria_3;105;1;stage1
seria_4;35;8;stage1
seria_4;40;8;stage1
seria_4;44;3;stage1
seria_4;50;2;stage1
seria_4;53;8;stage1
seria_4;55;13;stage1
seria_4;61;11;stage1
seria_4;62;13;stage1
seria_4;106;6;stage1
seria_4;107;6;stage1
seria_4;132;8;stage1
seria_4;169;10;stage1
seria_4;172;8;stage1
seria_4;25;5;stage1
seria_4;48;6;stage1
seria_4;49;6;stage1
seria_4;50;6;stage1
seria_4;69;10;stage1
seria_4;80;18;stage1
seria_4;89;5;stage1
seria_4;181;7;stage1
seria_4;182;8;stage1
seria_4;184;9;stage1
seria_4;5;10;stage1
seria_4;11;5;stage1
seria_4;21;12;stage1
seria_4;24;6;stage1
seria_4;31;7;stage1
seria_4;31;9;stage1
seria_4;32;7;stage1
seria_4;33;11;stage1
seria_4;37;11;stage1
seria_4;42;6;stage1
seria_4;45;5;stage1
seria_4;50;7;stage1
seria_4;51;3;stage1
seria_4;71;8;stage1
seria_4;73;9;stage1
seria_4;74;16;stage1
seria_4;80;14;stage1
seria_4;85;10;stage1
seria_4;86;16;stage1
seria_4;87;11;stage1
seria_4;88;11;stage1
seria_4;94;14;stage1
seria_4;95;14;stage1
seria_4;96;16;stage1
seria_4;98;16;stage1
